,station_train_code,train_no,train_type,train_code,from_station,from_station_name,to_station,to_station_name,from_station_telecode,to_station_telecode
7751,5610(秀山-重庆北),77000056100U,O,5610,秀山,秀山,重庆北,重庆北,ETW,CUW
7752,5611(内江-重庆),77000056110P,O,5611,内江,内江,重庆,重庆,NJW,CQW
7753,5612(重庆-内江),77000056120S,O,5612,重庆,重庆,内江,内江,CQW,NJW
7754,5619(燕岗-普雄),76000056190L,O,5619,燕岗,燕岗,普雄,普雄,YGW,POW
7755,5620(普雄-燕岗),76000056200J,O,5620,普雄,普雄,燕岗,燕岗,POW,YGW
7756,5629(重庆-遵义),77000056290R,O,5629,重庆,重庆,遵义,,CQW,
7757,5630(遵义-重庆),78000056300Q,O,5630,遵义,,重庆,重庆,,CQW
7758,5633(普雄-攀枝花),76000056330L,O,5633,普雄,普雄,攀枝花,攀枝花,POW,PRW
7759,5634(攀枝花-普雄),76000056340I,O,5634,攀枝花,攀枝花,普雄,普雄,PRW,POW
7760,5635(内江-昭通),77000056350M,O,5635,内江,内江,昭通,昭通,NJW,ZDW
7761,5636(昭通-内江),77000056360N,O,5636,昭通,昭通,内江,内江,ZDW,NJW
7762,5639(玉屏-贵阳),78000056390P,O,5639,玉屏,玉屏,贵阳,贵阳,YZW,GIW
7763,5640(贵阳-玉屏),78000056400M,O,5640,贵阳,贵阳,玉屏,玉屏,GIW,YZW
7764,5645(贵阳-昭通),78000056450L,O,5645,贵阳,贵阳,昭通,昭通,GIW,ZDW
7765,5646(昭通-贵阳),77000056470W,O,5646,昭通,昭通,贵阳,贵阳,ZDW,GIW
7766,5647(昭通-贵阳),77000056470W,O,5647,昭通,昭通,贵阳,贵阳,ZDW,GIW
7767,5648(贵阳-昭通),78000056450L,O,5648,贵阳,贵阳,昭通,昭通,GIW,ZDW
7768,5801(乌鲁木齐-阿拉山口),930000580107,O,5801,乌鲁木齐,乌鲁木齐,阿拉山口,阿拉山口,WAR,AKR
7769,5802(阿拉山口-乌鲁木齐),95000058020B,O,5802,阿拉山口,阿拉山口,乌鲁木齐,乌鲁木齐,AKR,WAR
7770,5809(喀什-和田),940000580901,O,5809,喀什,喀什,和田,和田,KSR,VTR
7771,5810(和田-喀什),940000581000,O,5810,和田,和田,喀什,喀什,VTR,KSR
7772,5817(和田-乌鲁木齐),940000582010,O,5817,和田,和田,乌鲁木齐,乌鲁木齐,VTR,WAR
7773,5818(乌鲁木齐-和田),930000581810,O,5818,乌鲁木齐,乌鲁木齐,和田,和田,WAR,VTR
7774,5819(乌鲁木齐-和田),930000581810,O,5819,乌鲁木齐,乌鲁木齐,和田,和田,WAR,VTR
7775,5820(和田-乌鲁木齐),940000582010,O,5820,和田,和田,乌鲁木齐,乌鲁木齐,VTR,WAR
7776,6025(麻城-九江),390000602506,O,6025,麻城,麻城,九江,九江,MCN,JJG
7777,6026(九江-麻城),570000602607,O,6026,九江,九江,麻城,麻城,JJG,MCN
7778,6029(承德-赤峰),24000060290D,O,6029,承德,承德,赤峰,赤峰,CDP,CFD
7779,6030(赤峰-承德),160000603006,O,6030,赤峰,赤峰,承德,承德,CFD,CDP
7780,6031(石家庄北-太原),26000060310D,O,6031,石家庄北,石家庄北,太原,太原,VVP,TYV
7781,6032(太原-石家庄北),270000603216,O,6032,太原,太原,石家庄北,石家庄北,TYV,VVP
7782,6033(石家庄北-太原),26000060330G,O,6033,石家庄北,石家庄北,太原,太原,VVP,TYV
7783,6034(太原-石家庄北),270000603416,O,6034,太原,太原,石家庄北,石家庄北,TYV,VVP
7784,6039(通辽-集宁南),160000603904,O,6039,通辽,通辽,集宁南,集宁南,TLD,JAC
7785,6042(通辽-集宁南),160000603904,O,6042,通辽,通辽,集宁南,集宁南,TLD,JAC
7786,6043(邯郸-长治北),26000060430Q,O,6043,邯郸,邯郸,长治北,长治北,HDP,CBF
7787,6044(长治北-邯郸),380000604403,O,6044,长治北,长治北,邯郸,邯郸,CBF,HDP
7788,6045(临汾-韩城),270000604526,O,6045,临汾,临汾,韩城,韩城,LFV,HCY
7789,6046(韩城-临汾),410000604606,O,6046,韩城,韩城,临汾,临汾,HCY,LFV
7790,6055(大同-包头),28000060551E,O,6055,大同,大同,包头,包头,DTV,BTC
7791,6056(包头-大同),33000060560E,O,6056,包头,包头,大同,大同,BTC,DTV
7792,6061(六盘水-昆明),78000060610S,O,6061,六盘水,六盘水,昆明,昆明,UMW,KMM
7793,6062(昆明-六盘水),80000060622B,O,6062,昆明,昆明,六盘水,六盘水,KMM,UMW
